Time,Name,consumo atual,% de limiar,Instâncias atuais,Instâncias máximas
2023-11-02 01:39:18,hpa-server,3%,30%,1,12
2023-11-02 01:39:21,hpa-server,3%,30%,1,12
2023-11-02 01:39:24,hpa-server,3%,30%,1,12
2023-11-02 01:39:27,hpa-server,3%,30%,1,12
2023-11-02 01:39:30,hpa-server,3%,30%,1,12
2023-11-02 01:39:33,hpa-server,3%,30%,1,12
2023-11-02 01:39:36,hpa-server,3%,30%,1,12
2023-11-02 01:39:39,hpa-server,3%,30%,1,12
2023-11-02 01:39:42,hpa-server,3%,30%,1,12
2023-11-02 01:39:45,hpa-server,3%,30%,1,12
2023-11-02 01:39:48,hpa-server,3%,30%,1,12
2023-11-02 01:39:51,hpa-server,3%,30%,1,12
2023-11-02 01:39:54,hpa-server,3%,30%,1,12
2023-11-02 01:39:57,hpa-server,3%,30%,1,12
2023-11-02 01:40:00,hpa-server,3%,30%,1,12
2023-11-02 01:40:04,hpa-server,3%,30%,1,12
2023-11-02 01:40:07,hpa-server,3%,30%,1,12
2023-11-02 01:40:10,hpa-server,92%,30%,1,12
2023-11-02 01:40:13,hpa-server,92%,30%,1,12
2023-11-02 01:40:16,hpa-server,92%,30%,1,12
2023-11-02 01:40:19,hpa-server,92%,30%,1,12
2023-11-02 01:40:22,hpa-server,92%,30%,1,12
2023-11-02 01:40:25,hpa-server,92%,30%,1,12
2023-11-02 01:40:28,hpa-server,92%,30%,1,12
2023-11-02 01:40:31,hpa-server,92%,30%,1,12
2023-11-02 01:40:34,hpa-server,92%,30%,1,12
2023-11-02 01:40:37,hpa-server,92%,30%,1,12
2023-11-02 01:40:40,hpa-server,92%,30%,1,12
2023-11-02 01:40:43,hpa-server,92%,30%,1,12
2023-11-02 01:40:46,hpa-server,92%,30%,1,12
2023-11-02 01:40:50,hpa-server,92%,30%,1,12
2023-11-02 01:40:53,hpa-server,92%,30%,1,12
2023-11-02 01:40:56,hpa-server,92%,30%,1,12
2023-11-02 01:40:59,hpa-server,92%,30%,1,12
2023-11-02 01:41:02,hpa-server,92%,30%,1,12
2023-11-02 01:41:05,hpa-server,92%,30%,1,12
2023-11-02 01:41:08,hpa-server,33%,30%,4,12
2023-11-02 01:41:11,hpa-server,33%,30%,4,12
2023-11-02 01:41:14,hpa-server,33%,30%,4,12
