Time,Name,consumo atual,% de limiar,Instâncias atuais,Instâncias máximas
2023-11-02 00:53:22,hpa-server,3%,30%,1,12
2023-11-02 00:53:25,hpa-server,3%,30%,1,12
2023-11-02 00:53:28,hpa-server,3%,30%,1,12
2023-11-02 00:53:31,hpa-server,3%,30%,1,12
2023-11-02 00:53:34,hpa-server,3%,30%,1,12
2023-11-02 00:53:38,hpa-server,3%,30%,1,12
2023-11-02 00:53:41,hpa-server,3%,30%,1,12
2023-11-02 00:53:44,hpa-server,3%,30%,1,12
2023-11-02 00:53:47,hpa-server,3%,30%,1,12
2023-11-02 00:53:50,hpa-server,3%,30%,1,12
2023-11-02 00:53:53,hpa-server,3%,30%,1,12
2023-11-02 00:53:56,hpa-server,3%,30%,1,12
2023-11-02 00:53:59,hpa-server,3%,30%,1,12
2023-11-02 00:54:02,hpa-server,3%,30%,1,12
2023-11-02 00:54:05,hpa-server,3%,30%,1,12
2023-11-02 00:54:08,hpa-server,43%,30%,1,12
2023-11-02 00:54:11,hpa-server,43%,30%,1,12
2023-11-02 00:54:14,hpa-server,43%,30%,1,12
2023-11-02 00:54:17,hpa-server,43%,30%,1,12
2023-11-02 00:54:20,hpa-server,43%,30%,1,12
2023-11-02 00:54:23,hpa-server,43%,30%,1,12
2023-11-02 00:54:26,hpa-server,43%,30%,1,12
2023-11-02 00:54:29,hpa-server,43%,30%,1,12
2023-11-02 00:54:33,hpa-server,43%,30%,1,12
2023-11-02 00:54:36,hpa-server,43%,30%,1,12
2023-11-02 00:54:39,hpa-server,43%,30%,1,12
2023-11-02 00:54:42,hpa-server,43%,30%,1,12
2023-11-02 00:54:45,hpa-server,43%,30%,1,12
2023-11-02 00:54:48,hpa-server,43%,30%,1,12
2023-11-02 00:54:51,hpa-server,43%,30%,1,12
2023-11-02 00:54:54,hpa-server,43%,30%,1,12
2023-11-02 00:54:57,hpa-server,43%,30%,1,12
2023-11-02 00:55:00,hpa-server,43%,30%,1,12
2023-11-02 00:55:03,hpa-server,43%,30%,1,12
2023-11-02 00:55:06,hpa-server,115%,30%,2,12
2023-11-02 00:55:09,hpa-server,115%,30%,2,12
2023-11-02 00:55:12,hpa-server,115%,30%,2,12
2023-11-02 00:55:15,hpa-server,115%,30%,2,12
2023-11-02 00:55:19,hpa-server,115%,30%,2,12
2023-11-02 00:55:22,hpa-server,115%,30%,2,12
2023-11-02 00:55:25,hpa-server,115%,30%,2,12
2023-11-02 00:55:28,hpa-server,115%,30%,2,12
2023-11-02 00:55:31,hpa-server,115%,30%,2,12
2023-11-02 00:55:34,hpa-server,115%,30%,2,12
2023-11-02 00:55:37,hpa-server,115%,30%,2,12
2023-11-02 00:55:40,hpa-server,115%,30%,2,12
2023-11-02 00:55:43,hpa-server,115%,30%,2,12
2023-11-02 00:55:46,hpa-server,115%,30%,2,12
2023-11-02 00:55:49,hpa-server,115%,30%,2,12
2023-11-02 00:55:52,hpa-server,115%,30%,2,12
2023-11-02 00:55:55,hpa-server,115%,30%,2,12
2023-11-02 00:55:59,hpa-server,115%,30%,2,12
2023-11-02 00:56:02,hpa-server,115%,30%,2,12
2023-11-02 00:56:05,hpa-server,115%,30%,2,12
2023-11-02 00:56:08,hpa-server,17%,30%,4,12
2023-11-02 00:56:11,hpa-server,17%,30%,4,12
2023-11-02 00:56:14,hpa-server,17%,30%,4,12
2023-11-02 00:56:17,hpa-server,17%,30%,4,12
2023-11-02 00:56:20,hpa-server,17%,30%,4,12
2023-11-02 00:56:23,hpa-server,17%,30%,4,12
2023-11-02 00:56:26,hpa-server,17%,30%,4,12
2023-11-02 00:56:29,hpa-server,17%,30%,4,12
2023-11-02 00:56:32,hpa-server,17%,30%,4,12
2023-11-02 00:56:36,hpa-server,17%,30%,4,12
2023-11-02 00:56:39,hpa-server,17%,30%,4,12
2023-11-02 00:56:42,hpa-server,17%,30%,4,12
2023-11-02 00:56:45,hpa-server,17%,30%,4,12
2023-11-02 00:56:48,hpa-server,17%,30%,4,12
2023-11-02 00:56:51,hpa-server,17%,30%,4,12
2023-11-02 00:56:54,hpa-server,17%,30%,4,12
2023-11-02 00:56:57,hpa-server,17%,30%,4,12
2023-11-02 00:57:00,hpa-server,17%,30%,4,12
2023-11-02 00:57:03,hpa-server,17%,30%,4,12
2023-11-02 00:57:06,hpa-server,74%,30%,4,12
2023-11-02 00:57:09,hpa-server,74%,30%,4,12
2023-11-02 00:57:12,hpa-server,74%,30%,4,12
2023-11-02 00:57:15,hpa-server,74%,30%,4,12
2023-11-02 00:57:18,hpa-server,74%,30%,4,12
2023-11-02 00:57:21,hpa-server,74%,30%,4,12
2023-11-02 00:57:24,hpa-server,74%,30%,4,12
2023-11-02 00:57:28,hpa-server,74%,30%,4,12
2023-11-02 00:57:31,hpa-server,74%,30%,4,12
2023-11-02 00:57:34,hpa-server,74%,30%,4,12
2023-11-02 00:57:37,hpa-server,74%,30%,4,12
2023-11-02 00:57:40,hpa-server,74%,30%,4,12
2023-11-02 00:57:43,hpa-server,74%,30%,4,12
2023-11-02 00:57:46,hpa-server,74%,30%,4,12
2023-11-02 00:57:49,hpa-server,74%,30%,4,12
2023-11-02 00:57:52,hpa-server,74%,30%,4,12
2023-11-02 00:57:55,hpa-server,74%,30%,4,12
2023-11-02 00:57:58,hpa-server,74%,30%,4,12
2023-11-02 00:58:01,hpa-server,74%,30%,4,12
2023-11-02 00:58:04,hpa-server,74%,30%,4,12
2023-11-02 00:58:07,hpa-server,10%,30%,8,12
2023-11-02 00:58:10,hpa-server,10%,30%,8,12
2023-11-02 00:58:14,hpa-server,10%,30%,8,12
2023-11-02 00:58:17,hpa-server,10%,30%,8,12
2023-11-02 00:58:20,hpa-server,10%,30%,8,12
2023-11-02 00:58:23,hpa-server,10%,30%,8,12
2023-11-02 00:58:26,hpa-server,10%,30%,8,12
2023-11-02 00:58:29,hpa-server,10%,30%,8,12
2023-11-02 00:58:32,hpa-server,10%,30%,8,12
2023-11-02 00:58:35,hpa-server,10%,30%,8,12
2023-11-02 00:58:38,hpa-server,10%,30%,8,12
2023-11-02 00:58:41,hpa-server,10%,30%,8,12
2023-11-02 00:58:45,hpa-server,10%,30%,8,12
2023-11-02 00:58:48,hpa-server,10%,30%,8,12
2023-11-02 00:58:51,hpa-server,10%,30%,8,12
2023-11-02 00:58:54,hpa-server,10%,30%,8,12
2023-11-02 00:58:57,hpa-server,10%,30%,8,12
2023-11-02 00:59:00,hpa-server,10%,30%,8,12
2023-11-02 00:59:03,hpa-server,10%,30%,8,12
2023-11-02 00:59:06,hpa-server,38%,30%,10,12
2023-11-02 00:59:09,hpa-server,38%,30%,10,12
2023-11-02 00:59:12,hpa-server,38%,30%,10,12
2023-11-02 00:59:15,hpa-server,38%,30%,10,12
2023-11-02 00:59:18,hpa-server,38%,30%,10,12
2023-11-02 00:59:21,hpa-server,38%,30%,10,12
2023-11-02 00:59:24,hpa-server,38%,30%,10,12
2023-11-02 00:59:27,hpa-server,38%,30%,10,12
2023-11-02 00:59:30,hpa-server,38%,30%,10,12
2023-11-02 00:59:33,hpa-server,38%,30%,10,12
2023-11-02 00:59:37,hpa-server,38%,30%,10,12
2023-11-02 00:59:40,hpa-server,38%,30%,10,12
2023-11-02 00:59:43,hpa-server,38%,30%,10,12
2023-11-02 00:59:46,hpa-server,38%,30%,10,12
2023-11-02 00:59:49,hpa-server,38%,30%,10,12
2023-11-02 00:59:52,hpa-server,38%,30%,10,12
2023-11-02 00:59:55,hpa-server,38%,30%,10,12
2023-11-02 00:59:58,hpa-server,38%,30%,10,12
2023-11-02 01:00:01,hpa-server,38%,30%,10,12
2023-11-02 01:00:04,hpa-server,38%,30%,10,12
2023-11-02 01:00:07,hpa-server,8%,30%,10,12
2023-11-02 01:00:10,hpa-server,8%,30%,10,12
2023-11-02 01:00:13,hpa-server,8%,30%,10,12
2023-11-02 01:00:16,hpa-server,8%,30%,10,12
2023-11-02 01:00:19,hpa-server,8%,30%,10,12
2023-11-02 01:00:22,hpa-server,8%,30%,10,12
2023-11-02 01:00:26,hpa-server,8%,30%,10,12
2023-11-02 01:00:29,hpa-server,8%,30%,10,12
2023-11-02 01:00:32,hpa-server,8%,30%,10,12
2023-11-02 01:00:35,hpa-server,8%,30%,10,12
2023-11-02 01:00:38,hpa-server,8%,30%,10,12
2023-11-02 01:00:41,hpa-server,8%,30%,10,12
2023-11-02 01:00:44,hpa-server,8%,30%,10,12
2023-11-02 01:00:47,hpa-server,8%,30%,10,12
2023-11-02 01:00:50,hpa-server,8%,30%,10,12
2023-11-02 01:00:53,hpa-server,8%,30%,10,12
2023-11-02 01:00:56,hpa-server,8%,30%,10,12
2023-11-02 01:00:59,hpa-server,8%,30%,10,12
2023-11-02 01:01:02,hpa-server,8%,30%,10,12
2023-11-02 01:01:05,hpa-server,8%,30%,10,12
2023-11-02 01:01:09,hpa-server,37%,30%,10,12
2023-11-02 01:01:12,hpa-server,37%,30%,10,12
2023-11-02 01:01:15,hpa-server,37%,30%,10,12
2023-11-02 01:01:18,hpa-server,37%,30%,10,12
2023-11-02 01:01:21,hpa-server,37%,30%,10,12
2023-11-02 01:01:24,hpa-server,37%,30%,10,12
2023-11-02 01:01:27,hpa-server,37%,30%,10,12
2023-11-02 01:01:30,hpa-server,37%,30%,10,12
2023-11-02 01:01:33,hpa-server,37%,30%,10,12
2023-11-02 01:01:36,hpa-server,37%,30%,10,12
2023-11-02 01:01:39,hpa-server,37%,30%,10,12
2023-11-02 01:01:42,hpa-server,37%,30%,10,12
2023-11-02 01:01:45,hpa-server,37%,30%,10,12
2023-11-02 01:01:49,hpa-server,37%,30%,10,12
2023-11-02 01:01:52,hpa-server,37%,30%,10,12
2023-11-02 01:01:55,hpa-server,37%,30%,10,12
2023-11-02 01:01:58,hpa-server,37%,30%,10,12
2023-11-02 01:02:01,hpa-server,37%,30%,10,12
2023-11-02 01:02:04,hpa-server,37%,30%,10,12
2023-11-02 01:02:07,hpa-server,8%,30%,12,12
2023-11-02 01:02:10,hpa-server,8%,30%,12,12
2023-11-02 01:02:13,hpa-server,8%,30%,12,12
2023-11-02 01:02:16,hpa-server,8%,30%,12,12
2023-11-02 01:02:19,hpa-server,8%,30%,12,12
2023-11-02 01:02:22,hpa-server,8%,30%,12,12
2023-11-02 01:02:26,hpa-server,8%,30%,12,12
2023-11-02 01:02:29,hpa-server,8%,30%,12,12
